flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi,concourse
2024-07-01,F0001,NK,635,N972NK,ARR,ORD,ATL,00:05,5,23:50,1430.0,7.0,1423.0,-15.0,606.0,A
2024-07-01,F0002,F9,1669,N342FR,ARR,RDU,ATL,00:05,5,23:58,1438.0,44.0,1394.0,-7.0,356.0,A
2024-07-01,F0003,WN,3207,N242WN,ARR,DAL,ATL,00:05,5,00:30,30.0,5.0,25.0,25.0,721.0,D
2024-07-01,F0004,WN,2979,N7728D,ARR,DEN,ATL,00:20,20,00:30,30.0,4.0,26.0,10.0,1199.0,C
2024-07-01,F0005,DL,466,N556NW,ARR,LAS,ATL,00:21,21,00:05,5.0,7.0,1438.0,-16.0,1747.0,B
2024-07-01,F0006,DL,471,N356DN,ARR,LAX,ATL,00:30,30,03:51,231.0,7.0,224.0,201.0,1947.0,B
2024-07-01,F0007,NK,1596,N640NK,ARR,EWR,ATL,00:30,30,,,,,,746.0,A
2024-07-01,F0008,AA,1898,N997NN,ARR,MIA,ATL,00:40,40,00:23,23.0,9.0,14.0,-17.0,594.0,D
2024-07-01,F0009,WN,2391,N247WN,ARR,LAS,ATL,00:50,50,00:29,29.0,6.0,23.0,-21.0,1747.0,D
2024-07-01,F0010,NK,75,N917NK,ARR,DFW,ATL,01:04,64,00:59,59.0,9.0,50.0,-5.0,731.0,A
2024-07-01,F0011,WN,3212,N8861Q,ARR,PHX,ATL,01:05,65,01:12,72.0,5.0,67.0,7.0,1587.0,C
2024-07-01,F0012,F9,2081,N358FR,ARR,SJU,ATL,01:58,118,03:23,203.0,16.0,187.0,85.0,1547.0,A
2024-07-01,F0013,AA,701,N655AW,DEP,ATL,CLT,05:02,302,09:57,597.0,16.0,613.0,295.0,226.0,D
2024-07-01,F0014,DL,783,N397DN,ARR,LAX,ATL,05:06,306,04:59,299.0,7.0,292.0,-7.0,1947.0,B
2024-07-01,F0015,UA,376,N37513,ARR,DEN,ATL,05:06,306,05:44,344.0,8.0,336.0,38.0,1199.0,B
2024-07-01,F0016,DL,912,N333DX,ARR,SLC,ATL,05:07,307,04:40,280.0,8.0,272.0,-27.0,1590.0,B
2024-07-01,F0017,DL,635,N928DU,ARR,SFO,ATL,05:18,318,05:04,304.0,6.0,298.0,-14.0,2139.0,D
2024-07-01,F0018,NK,403,N979NK,DEP,ATL,FLL,05:24,324,05:24,324.0,12.0,336.0,0.0,581.0,A
2024-07-01,F0019,DL,535,N892DN,ARR,PDX,ATL,05:25,325,05:19,319.0,20.0,299.0,-6.0,2172.0,D
2024-07-01,F0020,DL,567,N872DN,ARR,SEA,ATL,05:41,341,05:34,334.0,7.0,327.0,-7.0,2182.0,C
2024-07-01,F0021,NK,3389,N931NK,DEP,ATL,LGA,05:47,347,05:40,340.0,18.0,358.0,-7.0,762.0,A
2024-07-01,F0022,DL,391,N672DL,ARR,RNO,ATL,05:47,347,06:06,366.0,9.0,357.0,19.0,1993.0,B
2024-07-01,F0023,DL,819,N322DN,ARR,SAN,ATL,05:48,348,05:38,338.0,8.0,330.0,-10.0,1892.0,D
2024-07-01,F0024,DL,561,N390DA,ARR,FAT,ATL,05:51,351,05:44,344.0,10.0,334.0,-7.0,1997.0,C
