flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,concourse,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi
2025-04-01,F0001,F9,4601,N368FR,ARR,EWR,ATL,D,00:32,32,00:37,37.0,8.0,29.0,5.0,746.0
2025-04-01,F0002,DL,395,N660DL,ARR,LAX,ATL,D,00:48,48,00:48,48.0,8.0,40.0,0.0,1947.0
2025-04-01,F0003,NK,451,N619NK,ARR,MSY,ATL,A,00:50,50,00:46,46.0,10.0,36.0,-4.0,425.0
2025-04-01,F0004,AA,659,N317PG,ARR,MIA,ATL,D,00:54,54,00:34,34.0,7.0,27.0,-20.0,594.0
2025-04-01,F0005,F9,3294,N662FR,ARR,DEN,ATL,A,05:00,300,05:09,309.0,11.0,298.0,9.0,1199.0
2025-04-01,F0006,DL,540,N104DN,ARR,PHX,ATL,C,05:01,301,04:36,276.0,7.0,269.0,-25.0,1587.0
2025-04-01,F0007,AA,1753,N9006,DEP,ATL,CLT,D,05:04,304,05:07,307.0,15.0,322.0,3.0,226.0
2025-04-01,F0008,DL,471,N304DN,ARR,LAX,ATL,D,05:05,305,04:46,286.0,9.0,277.0,-19.0,1947.0
2025-04-01,F0009,F9,1872,N374FR,DEP,ATL,JFK,A,05:11,311,05:08,308.0,15.0,323.0,-3.0,760.0
2025-04-01,F0010,DL,912,N341DN,ARR,SLC,ATL,A,05:14,314,05:02,302.0,7.0,295.0,-12.0,1590.0
2025-04-01,F0011,AA,3170,N873NN,DEP,ATL,PHX,D,05:15,315,,,,,,1587.0
2025-04-01,F0012,AA,2770,N886NN,DEP,ATL,DFW,D,05:17,317,05:09,309.0,15.0,324.0,-8.0,731.0
2025-04-01,F0013,DL,769,N857DZ,ARR,SMF,ATL,B,05:23,323,04:55,295.0,4.0,291.0,-28.0,2092.0
2025-04-01,F0014,NK,442,N603NK,DEP,ATL,FLL,A,05:25,325,05:19,319.0,14.0,333.0,-6.0,581.0
2025-04-01,F0015,AA,3048,N9008U,DEP,ATL,MIA,D,05:26,326,07:48,468.0,12.0,480.0,142.0,594.0
2025-04-01,F0016,AA,3307,N808NN,ARR,PHX,ATL,D,05:28,328,05:34,334.0,8.0,326.0,6.0,1587.0
2025-04-01,F0017,MQ,4103,N207AN,DEP,ATL,DCA,B,05:29,329,07:25,445.0,22.0,467.0,116.0,547.0
2025-04-01,F0018,WN,1379,N8864H,ARR,PHX,ATL,C,05:30,330,05:15,315.0,6.0,309.0,-15.0,1587.0
2025-04-01,F0019,DL,819,N127DN,ARR,SAN,ATL,A,05:33,333,05:19,319.0,8.0,311.0,-14.0,1892.0
2025-04-01,F0020,NK,507,N731NK,DEP,ATL,TPA,A,05:45,345,05:39,339.0,9.0,348.0,-6.0,406.0
2025-04-01,F0021,WN,4876,N8866H,ARR,LAS,ATL,D,05:45,345,05:26,326.0,7.0,319.0,-19.0,1747.0
2025-04-01,F0022,DL,302,N390DN,ARR,DEN,ATL,B,05:45,345,05:20,320.0,6.0,314.0,-25.0,1199.0
2025-04-01,F0023,DL,561,N3761R,ARR,FAT,ATL,D,05:56,356,05:49,349.0,15.0,334.0,-7.0,1997.0
2025-04-01,F0024,F9,3216,N389FR,ARR,LAX,ATL,A,05:58,358,06:26,386.0,10.0,376.0,28.0,1947.0
2025-04-01,F0025,DL,722,N122DN,ARR,LAS,ATL,D,05:59,359,05:35,335.0,7.0,328.0,-24.0,1747.0
2025-04-01,F0026,F9,1116,N331FR,ARR,LAS,ATL,D,05:59,359,06:21,381.0,64.0,317.0,22.0,1747.0
